Indicator.Group...Sector,research.question,sub.research.question,hypothesis,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
select_one no SL,,,,,resp_gender,categorical,breadwinner,categorical,direct_reporting
select_multiple no SL,,,,,resp_gender,categorical,enough_water,categorical,direct_reporting
select_one SL,,,,,resp_gender,categorical,child_thin,categorical,direct_reporting
select_mutiple SL,,,,,resp_gender,categorical,latrine_features,categorical,direct_reporting
interger no SL,,,,,resp_gender,categorical,females_18_40,numerical,direct_reporting
interger SL,,,,,resp_gender,categorical,enrolled_boys_6_12,numerical,direct_reporting
select_one no SL,,,,resp_gender,,,breadwinner,categorical,direct_reporting
select_multiple no SL,,,,resp_gender,,,enough_water,categorical,direct_reporting
select_one SL,,,,resp_gender,,,child_thin,categorical,direct_reporting
select_mutiple SL,,,,resp_gender,,,latrine_features,categorical,direct_reporting
interger no SL,,,,resp_gender,,,females_18_40,numerical,direct_reporting
interger SL,,,,resp_gender,,,enrolled_boys_6_12,numerical,direct_reporting
