"","dependent.var","dependent.var.value","independent_repeat.value","numbers","se","min","max","methode"
"1","safe_in_aoo","no","al.anbar",0.262246344687116,NA,-0.0153114782243722,0.539804167598604,"independent.var"
"2","safe_in_aoo","yes","al.anbar",0.737753655312884,NA,0.460195832401396,1.01531147822437,"independent.var"
"3","safe_in_aoo","yes","diyala",1,NA,1,1,"independent.var"
"4","safe_in_aoo","do_not_know","erbil",0.0383766381990078,NA,0.00667934726180221,0.0700739291362133,"independent.var"
"5","safe_in_aoo","no","erbil",0.497206735627947,NA,0.408612233474243,0.58580123778165,"independent.var"
"6","safe_in_aoo","yes","erbil",0.464416626173045,NA,0.375176261222552,0.553656991123539,"independent.var"
"7","safe_in_aoo","do_not_know","kirkuk",0.0827630604037813,NA,0.0291822199707866,0.136343900836776,"independent.var"
"8","safe_in_aoo","no","kirkuk",0.366317830540632,NA,0.271963988655741,0.460671672425523,"independent.var"
"9","safe_in_aoo","yes","kirkuk",0.550919109055587,NA,0.453844948684747,0.647993269426427,"independent.var"
"10","safe_in_aoo","do_not_know","ninewa",0.122474537279088,NA,0.108953840618543,0.135995233939632,"independent.var"
"11","safe_in_aoo","no","ninewa",0.627834150143566,NA,0.613044858721622,0.642623441565511,"independent.var"
"12","safe_in_aoo","yes","ninewa",0.249691312577346,NA,0.232945955786963,0.26643666936773,"independent.var"
"13","safe_in_aoo","do_not_know","salah.al.din",0.0749429620812267,NA,0.0408388953302557,0.109047028832198,"independent.var"
"14","safe_in_aoo","no","salah.al.din",0.37503729798233,NA,0.284398288475036,0.465676307489624,"independent.var"
"15","safe_in_aoo","yes","salah.al.din",0.550019739936443,NA,0.456721549495344,0.643317930377542,"independent.var"
"16","why_not_safe_in_aoo","gender_based_violence","al.anbar",0,NA,0,0,"independent.var"
"17","why_not_safe_in_aoo","gender_based_violence","erbil",0.0373667240433288,NA,0,0.0805282582817695,"independent.var"
"18","why_not_safe_in_aoo","gender_based_violence","kirkuk",0,NA,0,0,"independent.var"
"19","why_not_safe_in_aoo","gender_based_violence","ninewa",0.0274901041819937,NA,0.00968069540896326,0.0452995129550241,"independent.var"
"20","why_not_safe_in_aoo","gender_based_violence","salah.al.din",0.02960132125367,NA,0,0.0785381481489076,"independent.var"
"21","why_not_safe_in_aoo","sporadic_clashes","al.anbar",0.5,NA,0,1,"independent.var"
"22","why_not_safe_in_aoo","sporadic_clashes","erbil",0.093416810108322,NA,0.0269013508690257,0.159932269347618,"independent.var"
"23","why_not_safe_in_aoo","sporadic_clashes","kirkuk",0.114531197425976,NA,0.0104554519733673,0.218606942878584,"independent.var"
"24","why_not_safe_in_aoo","sporadic_clashes","ninewa",0.185749061893789,NA,0.14455028212055,0.226947841667029,"independent.var"
"25","why_not_safe_in_aoo","sporadic_clashes","salah.al.din",0.363636337517951,NA,0.219131523665966,0.508141151369936,"independent.var"
"26","why_not_safe_in_aoo","exploitative_work","al.anbar",1,NA,1,1,"independent.var"
"27","why_not_safe_in_aoo","exploitative_work","erbil",0.0700498744614567,NA,0.013179383943145,0.126920364979768,"independent.var"
"28","why_not_safe_in_aoo","exploitative_work","kirkuk",0.162527338492598,NA,0.0391924916126578,0.285862185372537,"independent.var"
"29","why_not_safe_in_aoo","exploitative_work","ninewa",0.170020736747753,NA,0.129193242840231,0.210848230655274,"independent.var"
